id,professorNumber,firstName,lastName,email,password,departmentId,role
1,PROF001,Martin,Ahmed,martin.ahmed@univ.edu,password123,1,professor
2,PROF002,Dubois,Fatima,dubois.fatima@univ.edu,password123,1,professor
3,PROF003,Bennani,Youssef,bennani.youssef@univ.edu,password123,2,professor
4,PROF004,Belkacemi,Chef,belkacemi@gmail.com,belkacemi123,1,chef_de_departement
5,PROF005,Dr,Professeur,professeur@univ.ma,prof123,1,professor
6,PROF006,Salma,Zaki,salma.zaki6@univ.ma,password123,7,professor
7,PROF007,Asma,Slaoui,asma.slaoui7@univ.ma,password123,8,professor
8,PROF008,Fatima,Berrada,fatima.berrada8@univ.ma,password123,9,professor
9,PROF009,Zineb,Filali,zineb.filali9@univ.ma,password123,10,professor
10,PROF010,Omar,Amrani,omar.amrani10@univ.ma,password123,11,professor
11,PROF011,Ahmed,Amrani,ahmed.amrani11@univ.ma,password123,12,professor
12,PROF012,Youssef,Berrada,youssef.berrada12@univ.ma,password123,1,professor
13,PROF013,Fatima,Chraibi,fatima.chraibi13@univ.ma,password123,2,professor
14,PROF014,Fatima,Mernissi,fatima.mernissi14@univ.ma,password123,3,professor
15,PROF015,Asma,Tahiri,asma.tahiri15@univ.ma,password123,4,professor
16,PROF016,Meryem,Tahiri,meryem.tahiri16@univ.ma,password123,5,professor
17,PROF017,Anas,Zaki,anas.zaki17@univ.ma,password123,6,professor
18,PROF018,Youssef,Fassi,youssef.fassi18@univ.ma,password123,7,professor
19,PROF019,Anas,Zaki,anas.zaki19@univ.ma,password123,8,professor
20,PROF020,Rachid,Lahlou,rachid.lahlou20@univ.ma,password123,9,professor
21,PROF021,Salma,Zaki,salma.zaki21@univ.ma,password123,10,professor
22,PROF022,Fatima,Tahiri,fatima.tahiri22@univ.ma,password123,11,professor
23,PROF023,Sanaa,Tazi,sanaa.tazi23@univ.ma,password123,12,professor
24,PROF024,Sanaa,Berrada,sanaa.berrada24@univ.ma,password123,1,professor
25,PROF025,Ines,Lahlou,ines.lahlou25@univ.ma,password123,2,professor
26,PROF026,Karim,Tahiri,karim.tahiri26@univ.ma,password123,3,professor
27,PROF027,Youssef,Sefti,youssef.sefti27@univ.ma,password123,4,professor
28,PROF028,Zineb,Mernissi,zineb.mernissi28@univ.ma,password123,5,professor
29,PROF029,Leila,Alaoui,leila.alaoui29@univ.ma,password123,6,professor
30,PROF030,Zineb,Slaoui,zineb.slaoui30@univ.ma,password123,7,professor
31,PROF031,Idriss,Amrani,idriss.amrani31@univ.ma,password123,8,professor
32,PROF032,Mohamed,Mernissi,mohamed.mernissi32@univ.ma,password123,9,professor
33,PROF033,Asma,Chraibi,asma.chraibi33@univ.ma,password123,10,professor
34,PROF034,Anas,Idrissi,anas.idrissi34@univ.ma,password123,11,professor
35,PROF035,Sanaa,Fassi,sanaa.fassi35@univ.ma,password123,12,professor
36,PROF036,Mehdi,Bouaziz,mehdi.bouaziz36@univ.ma,password123,1,professor
37,PROF037,Sanaa,Idrissi,sanaa.idrissi37@univ.ma,password123,2,professor
38,PROF038,Ines,Bennani,ines.bennani38@univ.ma,password123,3,professor
39,PROF039,Karim,Belkhayat,karim.belkhayat39@univ.ma,password123,4,professor
40,PROF040,Mehdi,Alaoui,mehdi.alaoui40@univ.ma,password123,5,professor
41,PROF041,Hamza,Ghallab,hamza.ghallab41@univ.ma,password123,6,professor
42,PROF042,Hajar,Fassi,hajar.fassi42@univ.ma,password123,7,professor
43,PROF043,Rachid,Tahiri,rachid.tahiri43@univ.ma,password123,8,professor
44,PROF044,Anas,Belkhayat,anas.belkhayat44@univ.ma,password123,9,professor
45,PROF045,Meryem,Zaki,meryem.zaki45@univ.ma,password123,10,professor
46,PROF046,Youssef,Amrani,youssef.amrani46@univ.ma,password123,11,professor
47,PROF047,Amina,Alaoui,amina.alaoui47@univ.ma,password123,12,professor
48,PROF048,Hamza,Berrada,hamza.berrada48@univ.ma,password123,1,professor
49,PROF049,Idriss,Mernissi,idriss.mernissi49@univ.ma,password123,2,professor
50,PROF050,Zineb,Zaki,zineb.zaki50@univ.ma,password123,3,professor
51,PROF051,Salma,Chraibi,salma.chraibi51@univ.ma,password123,4,professor
52,PROF052,Hajar,Belkhayat,hajar.belkhayat52@univ.ma,password123,5,professor
53,PROF053,Zineb,Zaki,zineb.zaki53@univ.ma,password123,6,professor
54,PROF054,Zineb,Alaoui,zineb.alaoui54@univ.ma,password123,7,professor
55,PROF055,Zineb,Tahiri,zineb.tahiri55@univ.ma,password123,8,professor
56,PROF056,Rachid,Fassi,rachid.fassi56@univ.ma,password123,9,professor
57,PROF057,Idriss,Mansouri,idriss.mansouri57@univ.ma,password123,10,professor
58,PROF058,Leila,Filali,leila.filali58@univ.ma,password123,11,professor
59,PROF059,Ahmed,Belkhayat,ahmed.belkhayat59@univ.ma,password123,12,professor
60,PROF060,Idriss,Slaoui,idriss.slaoui60@univ.ma,password123,1,professor
61,PROF061,Leila,Tazi,leila.tazi61@univ.ma,password123,2,professor
62,PROF062,Mohamed,Belkhayat,mohamed.belkhayat62@univ.ma,password123,3,professor
63,PROF063,Anas,Lahlou,anas.lahlou63@univ.ma,password123,4,professor
64,PROF064,Leila,Sefti,leila.sefti64@univ.ma,password123,5,professor
65,PROF065,Meryem,Amrani,meryem.amrani65@univ.ma,password123,6,professor
