id,studentNumber,firstName,lastName,email,password,formationId
1,STU00001,Nassim,Belkadi,nassim.belkadi1@univ.dz,password123,2
2,STU00002,Hachem,Tadlaoui,hachem.tadlaoui2@univ.dz,password123,3
3,STU00003,Nadia,Chraibi,nadia.chraibi3@univ.dz,password123,4
4,STU00004,Mehdi,Zeroual,mehdi.zeroual4@univ.dz,password123,5
5,STU00005,Fadoua,Raissouni,fadoua.raissouni5@univ.dz,password123,6
6,STU00006,Samira,Berrada,samira.berrada6@univ.dz,password123,7
7,STU00007,Khadija,Guessous,khadija.guessous7@univ.dz,password123,8
8,STU00008,Fares,Ouhssain,fares.ouhssain8@univ.dz,password123,9
9,STU00009,Hanae,Ouladali,hanae.ouladali9@univ.dz,password123,10
10,STU00010,Yahya,Zeroual,yahya.zeroual10@univ.dz,password123,11
11,STU00011,Hafid,Jazouli,hafid.jazouli11@univ.dz,password123,12
12,STU00012,Abir,Oukacha,abir.oukacha12@univ.dz,password123,13
13,STU00013,Yasmine,Raissouni,yasmine.raissouni13@univ.dz,password123,14
14,STU00014,Driss,El Moussaoui,driss.elmoussaoui14@univ.dz,password123,15
15,STU00015,Houda,Benabdallah,houda.benabdallah15@univ.dz,password123,16
16,STU00016,Hanae,Ezzahiri,hanae.ezzahiri16@univ.dz,password123,17
17,STU00017,Mounir,Amiri,mounir.amiri17@univ.dz,password123,18
18,STU00018,Driss,Tahiri,driss.tahiri18@univ.dz,password123,19
19,STU00019,Brahim,Saadi,brahim.saadi19@univ.dz,password123,20
20,STU00020,Oumayma,Khaldi,oumayma.khaldi20@univ.dz,password123,21
21,STU00021,Lamrani,Touimi,lamrani.touimi21@univ.dz,password123,22
22,STU00022,Khalid,El Baz,khalid.elbaz22@univ.dz,password123,23
23,STU00023,Tariq,El Baz,tariq.elbaz23@univ.dz,password123,24
24,STU00024,Karima,Naji,karima.naji24@univ.dz,password123,25
25,STU00025,Khadija,Zaki,khadija.zaki25@univ.dz,password123,26
26,STU00026,Yasmine,Chaoui,yasmine.chaoui26@univ.dz,password123,27
27,STU00027,Fares,Raissouni,fares.raissouni27@univ.dz,password123,28
28,STU00028,Wafaa,Ghannam,wafaa.ghannam28@univ.dz,password123,29
29,STU00029,Aicha,Bensaid,aicha.bensaid29@univ.dz,password123,30
30,STU00030,Brahim,Jermoumi,brahim.jermoumi30@univ.dz,password123,31
31,STU00031,Safae,Hajji,safae.hajji31@univ.dz,password123,32
32,STU00032,Fouad,El Hachimi,fouad.elhachimi32@univ.dz,password123,33
33,STU00033,Zouhair,Bensaid,zouhair.bensaid33@univ.dz,password123,34
34,STU00034,Riad,Qadiri,riad.qadiri34@univ.dz,password123,35
35,STU00035,Nisrine,Haddad,nisrine.haddad35@univ.dz,password123,36
36,STU00036,Aicha,Bouzid,aicha.bouzid36@univ.dz,password123,37
37,STU00037,Soukaina,Ouazzani,soukaina.ouazzani37@univ.dz,password123,38
38,STU00038,Loubna,Kadmiri,loubna.kadmiri38@univ.dz,password123,39
39,STU00039,Walid,Raji,walid.raji39@univ.dz,password123,40
40,STU00040,Reda,El Maachi,reda.elmaachi40@univ.dz,password123,41
41,STU00041,Oumayma,Dahbi,oumayma.dahbi41@univ.dz,password123,42
42,STU00042,Jalal,Yamani,jalal.yamani42@univ.dz,password123,43
43,STU00043,Sara,Belkadi,sara.belkadi43@univ.dz,password123,44
44,STU00044,Yahya,Chraibi,yahya.chraibi44@univ.dz,password123,45
45,STU00045,Zahra,Saadi,zahra.saadi45@univ.dz,password123,1
46,STU00046,Mounir,Rhazi,mounir.rhazi46@univ.dz,password123,2
47,STU00047,Meryem,Loudiyi,meryem.loudiyi47@univ.dz,password123,3
48,STU00048,Iman,Zerhouni,iman.zerhouni48@univ.dz,password123,4
